Unnamed: 0,Question,Focus (Drug),Question Type,original_drug
608,how do Nitrofurantoin effect the digestive system,Nitrofurantoin,Side effects,steroids
610,what should i do if i just started taking an antibiotic and i am experiencing diahreea,Cefotaxime,Side effects,antibiotics
613,"Clarithromycin in patients with neurogenic detrusor ""over activity:"" is dose titration of benefit to the ""patients?""",Clarithromycin,Usage,trospium chloride
614,what is the purpose or desired effect of Doxycycline,Doxycycline,Indication,aspirin
615,Fosfomycin 40mcg what is it doe,Fosfomycin,Indication,QVAR
617,what is the effect of eliquis and cialis,Cefixime,Interaction,eliquis; cialis
618,Ciprofloxacin 0.5-0.4 mg capsule?,Ciprofloxacin,Information,jalyn
619,Trimethoprim-sulfamethoxazole?,Trimethoprim-sulfamethoxazole,Information,topiramate
620,"show Levofloxacin 30mg ""tab/accord"" healthcare",Levofloxacin,Appearance,spironolactone
622,exercise restrictions with taking Ciprofloxacin?,Ciprofloxacin,Usage,moxifloxacin
624,vaccine when pregnant,Cefotaxime,Information,vaccination
626,pneumonia vaccine is good for how long?,Nitrofurantoin,Usage/duration,Pneumococcal Vaccines
627,pneumonia vaccine is good for how long?,Cefixime,Storage and disposal,Pneumococcal Vaccines
628,how often should adult take pneumonia vaccine,Amoxicillin,Usage/duration,Pneumococcal Vaccines
630,what happens if voiting happens after taking a medication,Clarithromycin,Information,vomiting of medication
632,Azithromycin >65what is this vaccine used for?,Azithromycin,Indication,prevnar
633,what is clotrimazole and betamethasone dipropionage cream,Cefuroxime,Information,clotrimazole and betamethasone dipropionate
634,levodopa carbidopa what will these drugs do to me if i take alcohol,Doxycycline,Interaction,llevodopa and carbidopa; alcohol
639,what is the expiration time for fluorouracil topical cream,Fosfomycin,Storage and disposal,fluorouracil cream
641,what medications could cause excessive hair growth,Levofloxacin,Side effects,drugs that cause hirsutism
642,what is Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Information,formoterol
643,what painkillers can i take when taking rivaroxaban,Azithromycin,Interaction,"rivaroxaban, painkillers"
646,what types of steroids shots are there,Amoxicillin,Information,steroid injections
647,what are some side effects Cefixime,Cefixime,Side effects,nicoderm
648,warfarin and cabbage?,Fosfomycin,Interaction,warfarin; cabbage
650,Clarithromycin calcium what are the side effects,Clarithromycin,Side effects,rosuvastatin
651,what is the protocol for adding Levofloxacin for type2 diabetics,Levofloxacin,Usage,insulin
653,what is insuline and glucagon,Cefuroxime,Information,glucagon & insulin
657,can you take ultram with ibuprofen?,Cefotaxime,Interaction,ultram ; ibuprofen
658,is Doxycycline a chemo drug??,Doxycycline,Information,herceptin
659,Trimethoprim-sulfamethoxazole is good for what?,Trimethoprim-sulfamethoxazole,Indication,bupropion hcl 300mg
660,Ciprofloxacin (90714)what is a tad vaccine,Ciprofloxacin,Information,td vaccine
661,what size syringe to use for testosterone inject,Nitrofurantoin,Usage,testosterone injection
662,how much weight gain with Doxycycline,Doxycycline,Side effects,carvedilol
663,is Azithromycin good for heartburn?,Azithromycin,Indication,dicyclomine
664,what are Cefuroxime,Cefuroxime,Information,iron injections
667,when taking plavix and xarelto blood thinners is it safe to take dilaudid for pain,Nitrofurantoin,Interaction,"plavix, xarelto,  dilaudid"
668,is erythromycin ophthalmic ointment good for inflamed eyelids?,Amoxicillin,Indication,erythromycin ointment
669,how should i dilute Levofloxacin?,Levofloxacin,Usage,ceftriaxone injection
670,symptoms from taking multiple doses of Ciprofloxacin 40 mg per dayproblems with taking Ciprofloxacin 40mg twice daily ?,Ciprofloxacin,Side effects,lasix
671,how long for allergic reaction after using Cefotaxime,Cefotaxime,Side effects/time,nivolumab
672,where does Trimethoprim-sulfamethoxazole come from,Trimethoprim-sulfamethoxazole,Information,fluorouracil
673,where does Fosfomycin come from,Fosfomycin,Manufacturer,fluorouracil
678,how is Clarithromycin administered,Clarithromycin,Usage,tocilizumab
679,what is Cefixime ointment used for,Cefixime,Indication,diclofenac
680,Azithromycin is for what sexual diseases,Azithromycin,Indication,cephalexin
681,what is Clarithromycin,Clarithromycin,Information,terfenadine
682,what is Fosfomycin,Fosfomycin,Information,bisolvon
684,what are the side effects of taking the two medication amlodipine metoprolol together,Amoxicillin,Interaction,amlodipine; metoprolol
687,why am i so cold taking Ciprofloxacin b p med,Ciprofloxacin,Side effects,bystolic
689,is it alright to use fluticasone when using oxygen,Cefuroxime,Interaction,"fluticasone, oxygen"
