Question,Focus (Drug),Question Type,original_drug
what is the lowest dose of Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Dose,hydrochlorothiazide
how to wean off Levofloxacin,Levofloxacin,Stopping/tapering,lamotrigine
what is Ciprofloxacin,Ciprofloxacin,Information,amphetamine
what Cefotaxime looks like in color shape,Cefotaxime,Appearance,valacyclovir
what Nitrofurantoin looks like in color shape,Nitrofurantoin,Appearance,valacyclovir
what Cefixime looks like in color shape,Cefixime,Appearance,valacyclovir
what Amoxicillin looks like in color shape,Amoxicillin,Appearance,valacyclovir
"pantoprazole can it be taken ""plavix?""",Clarithromycin,Interaction,pantoprazole and Plavix
what the interaction between trimethoprim blood pressure medication,Azithromycin,Interaction,trimethoprim and blood pressure medication
what Cefuroxime are best for someone with a heart arrhythmia,Cefuroxime,Indication,antidepressants
how does it take Doxycycline to clear a drug screen?,Doxycycline,Action/time,phentermine
Fosfomycin tablets what dose,Fosfomycin,Dose,senna
is 600mg of Levofloxacin considered a strong dose ? how high in my can it go?,Levofloxacin,Dose,gabapentin
what is Trimethoprim-sulfamethoxazole for knee,Trimethoprim-sulfamethoxazole,Information,Supartz FX
"lorcet ""7.5"" liquid whats in this",Azithromycin,Ingredient,Lorcet 7.5 liquid
motoprolol pill how long before it takes affect,Amoxicillin,Action/time,metoprolol
Cefixime?,Cefixime,Information,famotidine 10 mg
"is Fosfomycin safe in ""mouth wash?""",Fosfomycin,Side effects,peppermint oil
can Clarithromycin lower blood pressure?,Clarithromycin,Indication,alprazolam
what side effects would magnesium have on a woman taking dilantin?,Levofloxacin,Interaction,magnesium and Dilantin
what is Cefuroxime how does it work,Cefuroxime,Information,acetylcholine
what is Cefotaxime how does it work,Cefotaxime,Action,acetylcholine
what are tne side effects of Doxycycline,Doxycycline,Side effects,carprofen
Trimethoprim-sulfamethoxazole long term use?,Trimethoprim-sulfamethoxazole,Usage/duration,lansoprazole
what is Ciprofloxacin?,Ciprofloxacin,Information,Efudex
what medications can induce hypo pigmentation of skin?,Nitrofurantoin,Side effects,drugs that cause hypopigmentation
what is Doxycycline made of,Doxycycline,Ingredient,Salonpas
what is the side effects of Azithromycin,Azithromycin,Side effects,Invokana
how long after teeth treatment can you start Cefuroxime infection,Cefuroxime,Contraindication,zoledronic acid
what are Nitrofurantoin,Nitrofurantoin,Information,steroids
how long do you leave Amoxicillin,Amoxicillin,Usage,bimatoprost ophthalmic
what is Levofloxacin,Levofloxacin,Information,dopamine
how to use an Ciprofloxacin,Ciprofloxacin,Usage,epinephrine pen
how to reconstitute Cefotaxime,Cefotaxime,Usage,cefazolin
what is Trimethoprim-sulfamethoxazole prescribed for?,Trimethoprim-sulfamethoxazole,Indication,Actonel
Fosfomycin interaction with herbal supplements?,Fosfomycin,Interaction,brimonidine
what does Clarithromycin medication do?,Clarithromycin,Action,Flomax
what is Cefixime >65?,Cefixime,Information,Prevnar
where yo get Azithromycins,Azithromycin,Information,tetanus shot
how long for Clarithromycin to show in your blood,Clarithromycin,Action/time,donepezil
"for a ""rinse,"" how many ""cc"" should be ""used?f"" lidocaine lidocaine used",Fosfomycin,Usage,lidocaine rinse
how many cc of Amoxicillin is a dose?,Amoxicillin,Dose,lidocaine
what medicine besides Ciprofloxacin lower cholesterol?,Ciprofloxacin,Alternatives,statins
what does the pill Cefuroxime look like,Cefuroxime,Appearance,oxybutynin
what is the normal dose of Levofloxacin,Levofloxacin,Dose,lactulose
what pills are not compatible with Nitrofurantoin,Nitrofurantoin,Interaction,hydrocodone
shingrix vaccine how often do you get a shingles shot,Cefotaxime,Usage/time,shingles vaccine
how long will Cefixime block opioid,Cefixime,Action,suboxone
how to stop taking Doxycycline,Doxycycline,Stopping/tapering,trazodone
blood pressure when on Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Side effects,Eliquis
what do i mix Amoxicillin with in my nebulizer?,Amoxicillin,Usage,albuterol sulfate inhalation solution
what color Ciprofloxacin,Ciprofloxacin,Appearance,metoprolol
"Cefuroxime ""milligrams?""",Cefuroxime,Dose,tramadol
what ppis this medication for simvastatin,Fosfomycin,Interaction,"simvastatin, PPI"
how to give Cefotaxime,Cefotaxime,Usage,insulin
how often do i get the Doxycycline,Doxycycline,Usage/time,pneumococcal conjugate vaccine
what are the active ingredients in Clarithromycin,Clarithromycin,Ingredient,bimatoprost
how does it take for Cefixime to begin to show some improvement,Cefixime,Action/time,Strattera
will Nitrofurantoin exacerbate heart arrhythmias?,Nitrofurantoin,Side effects,citalopram
Trimethoprim-sulfamethoxazole how it works,Trimethoprim-sulfamethoxazole,Action,nitroglycerin
"what is an esi shot in the ""back?"" epidural steroids shot in the ""back?""",Levofloxacin,Information,epidural steroid injection (ESI)
what is medication for singular 10 mg.,Azithromycin,Indication,Singulair
"Amoxicillin, 75 mg. how much is to much",Amoxicillin,Overdose,diclofenac sodium
what upis this medication for Azithromycin,Azithromycin,unanswerable,simvastatin
"any ""side effects"" when stop taking Cefixime",Cefixime,Stopping/side effects,clopidogrel
can Cefuroxime be used for medical reasons?,Cefuroxime,Indication,hormonal contraceptives
what opioid is in the bupropion patch,Fosfomycin,Ingredient,"""bupropion patch"" (probably buprenorphine [Butrans])"
what is Clarithromycin,Clarithromycin,Information,Nicoderm
if wanting to change from duragesic patch to oxycontin how are doseages compared,Doxycycline,Comparison,duragesic patch and oxycontin
what is Ciprofloxacin,Ciprofloxacin,Information,fluoride
why is losartin prescribed rather than a calcium channel blocker.,Trimethoprim-sulfamethoxazole,Comparison,losartan
"when used as a rinse, how big should the amount of lidocaineof lidocaine used",Cefotaxime,Dose,lidocaine rinse
is it safe to add peppermint essential oil in mouthwash?,Nitrofurantoin,Side effects,peppermint oil
how to identify Levofloxacin tablets,Levofloxacin,Appearance,clonidine
Nitrofurantoin admin they injected into my kidney what will i do,Nitrofurantoin,Information,enoxaparin shot
how to safely stop taking Fosfomycin,Fosfomycin,Stopping/tapering,anastrozole
Clarithromycin after dinner and bed time?,Clarithromycin,Usage,metformin
what is Cefotaxime,Cefotaxime,Information,cortisol
effects of salt of epson to diabetes?,Cefuroxime,Contraindication,Epsom salt
1 mg Doxycycline ccis a small does of Doxycycline for adults?,Doxycycline,Dose,Ativan
"what help withdrawal ""fom."" hydrocodone 10 325",Amoxicillin,Stopping/tapering,hydrocodone + acetaminophen
what is Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Information,prochlorperazine
what does Azithromycin 1gm cure?,Azithromycin,Indication,valacyclovir
Ciprofloxacin how many milligrams for psoriatic arthritis,Ciprofloxacin,Dose,methotrexate
how long can i take Levofloxacin,Levofloxacin,Usage/time,raloxifene
is it safe to take Cefixime when breast feeding,Cefixime,Usage/special populations,toradol
"oxycodone hcl 5 mg & oxycodone ""10-325"" apap the same?",Cefixime,Comparison,"oxycodone hcl 5 mg; oxycodone ""10-325"""
how do Clarithromycin work,Clarithromycin,Action,beta blockers
what is contraindication of Cefotaxime,Cefotaxime,Contraindication,carbamazepine
what is Fosfomycin,Fosfomycin,Information,docusate sodium
what Azithromycin looks like,Azithromycin,Appearance,valacyclovir
what is insulin Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Information,glucagon
what milligrams the Cefuroxime,Cefuroxime,Dose,allopurinol
how long itching lasts after stopping Doxycycline,Doxycycline,Side effects/time,doxycycline
"why ""shouldn't"" i take gemfibrozil while taking lovastatin?",Ciprofloxacin,Interaction,gemfibrozil; lovastatin
Levofloxacin >65?,Levofloxacin,Indication,prevnar
how is Nitrofurantoin adminitsered,Nitrofurantoin,Usage,cyanocobalamin
how Doxycycline works,Doxycycline,Action,dextroamphetamine
what is Amoxicillin,Amoxicillin,Information,beta vulgaris
"if ""i'm"" allergic to penicillin can i take ""Amoxicillin?""",Amoxicillin,Contraindication,amoxicillin
what milagrams Cefixime come in,Cefixime,Dose,olanzapine
how many milligrams of aceitomohen in a bottle of Cefuroxime,Cefuroxime,Dose,acetaminophen with codeine
what medications can you not take with Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Interaction,grapefruit
Nitrofurantoin generic for?,Nitrofurantoin,Brand names,nitrofurantoin
"mouth wash"" with Azithromycin water -how much Azithromycin to ""water?",Azithromycin,Dose,salt
what is Levofloxacin,Levofloxacin,Information,vancomycin
at what point do i no longer need Cefotaxime injection?,Cefotaxime,Usage/time,cyanocobalamin
Ciprofloxacin for afibwhat are side effects,Ciprofloxacin,Side effects,amiodarone
"are you mentally ""i'll"" when you ""take Fosfomycin?""",Fosfomycin,Indication,fluoxetine
how to use Clarithromycin insulin pen,Clarithromycin,Usage,lantus solostar
what are the dosage strengths of Nitrofurantoin,Nitrofurantoin,Dose,sildenafil
"how long should i take Ciprofloxacin for a urinary tract infection ""?""",Ciprofloxacin,Usage/time,cipro
how to stop using Doxycycline,Doxycycline,Stopping/tapering,estradiol patch
how much Amoxicillin to treat strep throat for adult,Amoxicillin,Dose,penicillin
what class is Fosfomycin,Fosfomycin,Information,diazepam
is estradiol transdermal patch bio-identical estrogen?,Amoxicillin,Information,estradiol transdermal patch; estrogen
how to reduce Levofloxacin,Levofloxacin,Stopping/tapering,bisoprolol
what does Cefixime do to the body,Cefixime,Action,prednisone
what does Cefuroxime do to the body,Cefuroxime,Side effects,prednisone
how to prescribe Cefotaxime,Cefotaxime,Usage,fluocinonide .05% gel
what to do with Trimethoprim-sulfamethoxazole poisoning,Trimethoprim-sulfamethoxazole,Overdose,hydrogen peroxide
how does amxacillin clavulanic acid work,Amoxicillin,Action,amoxicillin clavulanic acid
what is the action of Ciprofloxacin in my body,Ciprofloxacin,Action,ezetimibe
when is the best time of day to take Doxycycline,Doxycycline,Usage/time,propranolol
how long are you protected after taking the hep b vaccine,Azithromycin,Time/effectiveness,hepatitits B vaccine
how you use for paracetamol,Nitrofurantoin,Usage,Acetaminophen
how you use for Clarithromycin,Clarithromycin,Alternatives,paracetamol
"problems when stopping Trimethoprim-sulfamethoxazole, hair loss?",Trimethoprim-sulfamethoxazole,Stopping/side effects,metformin
what is Doxycycline used for,Doxycycline,Indication,diclofenac sodium topical gel
what is rate for iv infusion Nitrofurantoin,Nitrofurantoin,Usage,cilastatin/imipenem
what is a Fosfomycin,Fosfomycin,Information,beta blocker
what should i do when stopping taking Azithromycin,Azithromycin,Stopping/tapering,oxycodone
how does Cefotaxime i effect the nervous system,Cefotaxime,Side effects,cocaine
"are you able to take Amoxicillin if you have a heart ""transplant?""",Amoxicillin,Contraindication,guaifenesin
can i took Levofloxacin for acne when i have kidney stone,Levofloxacin,Contraindication,minocycline
what is Cefixime ?,Cefixime,Information,amlodipine
how do Clarithromycin kill bacteria,Clarithromycin,Action,antibiotics
how is Cefuroxime dispensed,Cefuroxime,Dose,enoxaparin
what is the medication riva-clonazepam,Ciprofloxacin,Information,RIVA-CLONAZEPAM (clonazepam)
when is the best time to take Doxycycline,Doxycycline,Usage/time,lotensin
when is the best time to take Cefuroxime,Cefuroxime,Usage/time,lotensin
what is Ciprofloxacin,Ciprofloxacin,Information,ciprofloxacin
when is it ok to discontinue use of premarin crea m,Azithromycin,Stopping/tapering,premarin cream
if Amoxicillin is instilled in the wrong eye what happens,Amoxicillin,Usage,diclofenac
how other inject Clarithromycin to the knee,Clarithromycin,Information,cortisone
how long will Cefixime last on the shelf,Cefixime,Storage and disposal,benzonatate
Nitrofurantoin medication treats what disorder,Nitrofurantoin,Indication,tretinoin
why are Ciprofloxacin useful for treating gastrointestinal spasms associated with ibs,Ciprofloxacin,Action,anticholinergic drugs
what is clotrimazole betamethasone dipropionate cream,Levofloxacin,Information,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE
what is Fosfomycin used for,Fosfomycin,Indication,triamcinolone acetonide
what is Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Information,benzodiazepines
whats Cefotaxime,Cefotaxime,Information,zithromax
how long does Ciprofloxacin stay in breast milk,Ciprofloxacin,Action/time,vicodin
"how long can you be on clopidogrel ""&"" aspirin combined for",Cefixime,Usage/time,clopidogrel  & aspirin
Fosfomycin can i stop taking it?,Fosfomycin,Stopping/tapering,trospium
"how long does Cefotaxime stay in ""system?""",Cefotaxime,Action/time,chlordiazepoxide
how much gravol to kill you,Doxycycline,Overdose,Dimenhydrinate
what are the side effects and long term consequences of using Clarithromycin,Clarithromycin,Side effects,nicotine
what are the side effects and long term consequences of using Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Long term consequences,nicotine
how is Amoxicillin taken,Amoxicillin,Information,nicotine
brinzolamide is brimodine?,Azithromycin,Information,brinzolamide/brimodine
what does take drug with food mean?,Levofloxacin,Information,drug & food
what would a normal dose be for Cefuroxime,Cefuroxime,Dose,valacyclovir
how many mgs of Nitrofurantoin does one take for sleep,Nitrofurantoin,Dose,seroquel
what does Ciprofloxacin contain,Ciprofloxacin,Ingredient,tasmar
what is another drug similar to Fosfomycin,Fosfomycin,Alternatives,sulfonylureas
how do Cefotaxime injections treat muscle conditions?,Cefotaxime,Action,botulinum toxin
heroin mixed with Amoxicillin what are the symptoms of an overdose,Amoxicillin,Overdose,fentanyl
Cefuroxime mixed with fentanyl what are the symptoms of an overdose,Cefuroxime,Overdose,heroin
heroin mixed with fentanyl what are the symptoms of an overdose,Trimethoprim-sulfamethoxazole,Interaction,"heroin, fentanyl"
is Clarithromycin addictive?,Clarithromycin,Side effects,pramipexole
can you take amoxicillin with hydrocodone ?,Amoxicillin,Interaction,amoxicillin & hydrocodone
how long will the Cefixime stay good,Cefixime,Storage and disposal,cyanocobalamin
Doxycycline how prescribed,Doxycycline,Dose,entocort ec
Levofloxacin caps 200 mg what is it for,Levofloxacin,Indication,celebrex
how ph change with antibiotic,Nitrofurantoin,Action,antibiotics
what does Azithromycin look like,Azithromycin,Appearance,vicodin
how much is Nitrofurantoin daily dose,Nitrofurantoin,Dose,fish oil
Fosfomycin ip what is the rate of injection,Fosfomycin,Dose,meropenem injection
what is Cefixime used for,Cefixime,Indication,xifaxan
what happens when you mix cymbalta with muscle relaxes,Ciprofloxacin,Interaction,"cymbalta, muscle relaxants"
when to start Trimethoprim-sulfamethoxazole,Trimethoprim-sulfamethoxazole,Usage/time,tamiflu
how to take Clarithromycin,Clarithromycin,Usage,clotrimazole
how to apply Cefotaxime patch on chest,Cefotaxime,Usage,clonidine
do patients get better medication deposition when using a Cefuroxime?,Cefuroxime,Information,spacer
what color is the Levofloxacin,Levofloxacin,Appearance,clonazepam
how 9is Azithromycin adminitsered,Azithromycin,Usage,cyanocobalamin
how to stop Amoxicillin lyrica,Amoxicillin,Stopping/tapering,pregabalin
i need to know how to use this medication Doxycycline,Doxycycline,Usage,ultibro
howmuch aspirin in Fosfomycin,Fosfomycin,Ingredient,butalbital
Cefotaxime how often,Cefotaxime,Usage/time,shingles vaccine
show me Doxycycline,Doxycycline,Appearance,omeprazole
what is Levofloxacin medicine,Levofloxacin,Appearance,u02
what does Ciprofloxacin do to your body,Ciprofloxacin,Action,magnesium
shingles sq (Amoxicillin) i have to take again ?,Amoxicillin,Usage/time,zostavax
what size bottle does Trimethoprim-sulfamethoxazole come in,Trimethoprim-sulfamethoxazole,Storage and disposal,latanoprost ophthalmic
how is bcg vaccine stored,Cefuroxime,Storage and disposal,bsg vaccine
what is Azithromycin (rzv) recombinant vaccine,Azithromycin,Information,shingrix
what is a normal dosage of Cefixime,Cefixime,Dose,klonopin
how often can a prescription of Nitrofurantoin be called in,Nitrofurantoin,Usage,fentanyl
how long does stomach take to empty for Clarithromycin,Clarithromycin,Action/time,fosamax
"how should i dilute Fosfomycin ""infection?""",Fosfomycin,Usage,ceftriaxone
Clarithromycin what mgs are available,Clarithromycin,Dose,fluoxetine
how long can i take Doxycycline,Doxycycline,Usage/time,ibuprofen
how can i split a 3mg or 4mg waefin pill so i can get a 2.5mg pill,Cefuroxime,Usage,warfarin
does Doxycycline contain resin and shellac in it. ?,Doxycycline,Ingredient,doxycycline
wht is a normal dose daily for Cefixime?,Cefixime,Dose,ativan
ok to use expired Cefotaxime patches??,Cefotaxime,Storage and disposal,lidocaine
"how often is the Ciprofloxacin shot ""given?""",Ciprofloxacin,Usage/time,tetanus
why take Azithromycin,Azithromycin,Indication,simvastatin
what is the medication thera tab used to treat?,Levofloxacin,Indication,Thera-Tabs
how should i stop taking Amoxicillin?,Amoxicillin,Stopping/tapering,heparin
what spices can be used while on warfarin,Trimethoprim-sulfamethoxazole,Interaction,warfarin; spices
how do Nitrofurantoin effect the digestive system,Nitrofurantoin,Side effects,steroids
how do Levofloxacin effect the digestive system,Levofloxacin,Side effects,steroids
Nitrofurantoin mg?,Nitrofurantoin,Dose,tylenol pm
what should i do if i just started taking an antibiotic and i am experiencing diahreea,Fosfomycin,Side effects,antibiotics
"is there danger in stopping Cefotaxime form ""days?""",Cefotaxime,Stopping/tapering,sertraline
what time should take Amoxicillin,Amoxicillin,Usage/time,memantine
"Azithromycin in patients with neurogenic detrusor ""over activity:"" is dose titration of benefit to the ""patients?""",Azithromycin,Usage,trospium chloride
what is the purpose or desired effect of Cefixime,Cefixime,Indication,aspirin
Trimethoprim-sulfamethoxazole 40mcg what is it doe,Trimethoprim-sulfamethoxazole,Indication,QVAR
what are the ingredients in Clarithromycin,Clarithromycin,Ingredient,cephalexin
what is the effect of eliquis and cialis,Ciprofloxacin,Interaction,eliquis; cialis
Cefuroxime 0.5-0.4 mg capsule?,Cefuroxime,Information,jalyn
Doxycycline?,Doxycycline,Information,topiramate
"show Amoxicillin 30mg ""tab/accord"" healthcare",Amoxicillin,Appearance,spironolactone
how long after Cefixime to see results,Cefixime,Action/time,steroids
exercise restrictions with taking Levofloxacin?,Levofloxacin,Usage,moxifloxacin
vaccine when pregnant,Nitrofurantoin,Information,vaccination
vit Trimethoprim-sulfamethoxazole tabet?,Trimethoprim-sulfamethoxazole,Dose,B12
pneumonia vaccine is good for how long?,Cefotaxime,Usage/duration,Pneumococcal Vaccines
pneumonia vaccine is good for how long?,Ciprofloxacin,Storage and disposal,Pneumococcal Vaccines
how often should adult take pneumonia vaccine,Fosfomycin,Usage/duration,Pneumococcal Vaccines
what mg. does Azithromycin have?,Azithromycin,Dose,meprobamate
what happens if voiting happens after taking a medication,Doxycycline,Information,vomiting of medication
influenza when received,Clarithromycin,Usage/time,flu vaccination
Cefuroxime >65what is this vaccine used for?,Cefuroxime,Indication,prevnar
what is clotrimazole and betamethasone dipropionage cream,Cefixime,Information,clotrimazole and betamethasone dipropionate
levodopa carbidopa what will these drugs do to me if i take alcohol,Fosfomycin,Interaction,llevodopa and carbidopa; alcohol
how often do you need a Amoxicillin?,Amoxicillin,Usage/time,zoster vaccine
do prescription Nitrofurantoin help prevent reocurrence of arts?,Nitrofurantoin,Action,antacids
how long can you take a steroid for arthritis,Cefotaxime,Usage/time,steroids
what is the expiration time for fluorouracil topical cream,Trimethoprim-sulfamethoxazole,Storage and disposal,fluorouracil cream
what is the difference between atorvastatin and lipitor,Ciprofloxacin,Comparison,atorvastatin; lipitor
what medications could cause excessive hair growth,Cefuroxime,Side effects,drugs that cause hirsutism
what is Azithromycin,Azithromycin,Information,formoterol
what painkillers can i take when taking rivaroxaban,Doxycycline,Interaction,"rivaroxaban, painkillers"
how long should wait to take another medicine after i take Azithromycin,Azithromycin,Usage,azithromycin
what time of day to take Clarithromycin,Clarithromycin,Usage/time,aripiprazole
what types of steroids shots are there,Levofloxacin,Information,steroid injections
what are some side effects Cefixime,Cefixime,Side effects,nicoderm
warfarin and cabbage?,Trimethoprim-sulfamethoxazole,Interaction,warfarin; cabbage
"can a patient stop using Ciprofloxacin if the condition ""stabilize?""",Ciprofloxacin,Stopping/tapering,enalapril
Amoxicillin calcium what are the side effects,Amoxicillin,Side effects,rosuvastatin
what is the protocol for adding Azithromycin for type2 diabetics,Azithromycin,Usage,insulin
what is the dosage of Levofloxacin tablets for bronchitis please,Levofloxacin,Dose,levofloxacin
what is insuline and glucagon,Fosfomycin,Information,glucagon & insulin
when to take Levofloxacin,Levofloxacin,Usage/time,loratadine
where is Doxycycline metabolized?,Doxycycline,Action,tetracycline
how to stop taking Nitrofurantoin,Nitrofurantoin,Stopping/tapering,atorvastatin
can you take ultram with ibuprofen?,Clarithromycin,Interaction,ultram ; ibuprofen
is Cefuroxime a chemo drug??,Cefuroxime,Information,herceptin
Cefotaxime is good for what?,Cefotaxime,Indication,bupropion hcl 300mg
Cefixime (90714)what is a tad vaccine,Cefixime,Information,td vaccine
what size syringe to use for testosterone inject,Levofloxacin,Usage,testosterone injection
how much weight gain with Doxycycline,Doxycycline,Side effects,carvedilol
is Trimethoprim-sulfamethoxazole good for heartburn?,Trimethoprim-sulfamethoxazole,Indication,dicyclomine
what are Fosfomycin,Fosfomycin,Information,iron injections
how much Azithromycin should an anemic take per day,Azithromycin,Dose,iron
what is in Cefotaxime,Cefotaxime,Ingredient,lidocaine
when taking plavix and xarelto blood thinners is it safe to take dilaudid for pain,Cefuroxime,Interaction,"plavix, xarelto,  dilaudid"
is erythromycin ophthalmic ointment good for inflamed eyelids?,Ciprofloxacin,Indication,erythromycin ointment
how should i dilute Clarithromycin?,Clarithromycin,Usage,ceftriaxone injection
symptoms from taking multiple doses of Amoxicillin 40 mg per dayproblems with taking Amoxicillin 40mg twice daily ?,Amoxicillin,Side effects,lasix
how long for allergic reaction after using Nitrofurantoin,Nitrofurantoin,Side effects/time,nivolumab
where does Amoxicillin come from,Amoxicillin,Information,fluorouracil
where does Nitrofurantoin come from,Nitrofurantoin,Manufacturer,fluorouracil
Clarithromycin how long in system,Clarithromycin,Action/time,chlorpheniramine
how long will 6 mgs of Cefotaxime block opiates,Cefotaxime,Action/time,suboxone
how is Levofloxacin administered,Levofloxacin,Usage,tocilizumab
what is Trimethoprim-sulfamethoxazole ointment used for,Trimethoprim-sulfamethoxazole,Indication,diclofenac
Azithromycin is for what sexual diseases,Azithromycin,Indication,cephalexin
what is Doxycycline,Doxycycline,Information,terfenadine
what is Cefuroxime,Cefuroxime,Information,bisolvon
is it safe for a 72 year old to stop taking Cefixime?,Cefixime,Stopping/tapering,premarin
what are the side effects of taking the two medication amlodipine metoprolol together,Fosfomycin,Interaction,amlodipine; metoprolol
how soon does Ciprofloxacin affect blood pressure,Ciprofloxacin,Action/time,losartan
how do Nitrofurantoin effect the respiratory system,Nitrofurantoin,Action,steroids
why am i so cold taking Azithromycin b p med,Azithromycin,Side effects,bystolic
Cefuroxime how often,Cefuroxime,Usage/time,pneumococcal vaccine
is it alright to use fluticasone when using oxygen,Doxycycline,Interaction,"fluticasone, oxygen"
