SideEffect ID,Antibiotic ID,SE Name,Pattern,SE Description ,Reference ID
SE168,A006,Toxic Epidermal Necrolysis,Not Specified,"Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) is a severe skin reaction most often triggered by particular medications. Although Stevens-Johnson syndrome and toxic epidermal necrolysis were once thought to be separate conditions, they are now considered part of a continuum. Toxic Epidermal Necrolysis represents the more severe end.","R006
R153"
SE169,A006,Pancytopenia,Not Specified,"Pancytopenia can result in extreme tiredness (fatigue) due to low numbers of red blood cells (anemia), frequent infections due to low numbers of white blood cells (neutropenia), and abnormal bleeding due to low numbers of platelets (thrombocytopenia)","R006
R205"
SE170,A006,Autoimmune Hemolytic Anemia,Not Specified,Autoimmune hemolytic anemia is a condition in which the body does not have enough healthy red blood cells. Red blood cells provide the oxygen to the body's tissue.,"R006
R148"
SE171,A006,QT Interval Prolongation,Not Specified,QT interval prolongation is an irregular heart Prolongation of the QT Interval.,"R006
R206"
SE172,A006,Anaphylactic Shock,Not Specified,"Anaphylactic Shock is an alternative name for Anaphylaxis. It is a seroius allergic reaction. It can began very quickly, and symptoms may be life-threatening. ","R006
R143"
SE173,A006,Anaphylactoid Reaction,Not Specified,Anaphylactoid Reaction is an anaphylactic-like reaction.,"R006
R143"
SE174,A006,Dysphonia,Not Specified,"Dysphonia is an alternative name for Hoarseness. It refers to difficulty making sounds when trying to speak. Vocal sounds may be weak, breathy, scratchy, or husky, and the pitch or quality of the voice may change.","R006
R207"
SE175,A006,Abnormal EEG,Not Specified,"An electroencephalogram (EEG) is a test to measure the electrical activity of the brain. Abnormal results on an EEG test may be due to abnormal bleeding in the braon, an abnormal structure in the brain, and others.","R006
R208"
SE176,A006,Encephalopathy,Not Specified,Encephalopathy is an abnormal brain function.,"R006
R209"
SE177,A006,Eosinophilia,Not Specified,Eosinophils are a type of white blood cell. They help fight off infections and play a role in your body's immune response. They can also build up and cause inflammation.,"R006
R151"
SE178,A006,Erythema Multiforme,Not Specified,Erythema Multiforme is an acute skin reaction that comes form an infection or another trigger. EM is a self-limiting condition. This means it usually resolves on its own without treatment.,"R006
R154"
SE179,A006,Hemolytic Anemia,Not Specified,Hemolytic anemia is a condition in which the body does not have enough healthy red blood cells. Red blood cells provide oxygen to body tissues.,"R006
R147"
SE180,A006,Peripheral Neuropathy,Not Specified,Peripheral neuropathy means these nerves don't work properly. Peripheral neuropathy may occur because of damage to a single nerve or a group of nerves. It may also affect nerves in the whole body.,"R006
R210"
SE181,A006,Rhabdomyolysis,Not Specified,Rhabdomyolysis is the breakdown of muscle tissue that leads to the release of muscle fiber contents into the blood. These substances are harmful to the kidney and often cause kidney damage.,"R006
R211"
SE182,A006,Stevens-Johnson Syndrome,Not Specified,"Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) is a severe skin reaction most often triggered by particular medications. Although Stevens-Johnson syndrome and toxic epidermal necrolysis were once thought to be separate conditions, they are now considered part of a continuum. Stevens-Johnson Syndrome represents the less severe end of the disease spectrum.","R006
R153"
SE183,A007,Skin Rashes,Common,"A skin rash is an area of irritated or swollen skin. Many rashes are itchy, red, painful, and irritated. Some rashes can also lead to blisters or patches of raw skin.","R007
R165"
SE184,A007,Urticaria,Common,Urticaria is also called as Hives. It is a red and sometimes itchy bumps on your skin.,"R007
R141"
SE185,A007,Eosinophilia,Common,Eosinophils are a type of white blood cell. They help fight off infections and play a role in your body's immune response. They can also build up and cause inflammation.,"R007
R151"
SE186,A007,Fever,Common,"A fever is a body temperature that is higher than normal. A normal temperature can vary from person to person, but it is usually around 98.6 °F (37 °C). A fever is not a disease. It is usually a sign that your body is trying to fight an illness or infection.","R007
R212"
SE187,A007,Reactions Resembling Serum Sickness,Common,"Serum sickness is a reaction that is similar to an allergy. The immune reacts to medicines that contain proteins used to treat immune conditions. It can also react to antiserum, the liquid part of blood that contains antibodies given to a person to help protect them against germs or poisonous substances.","R007
R144"
SE188,A007,Anaphylaxis,Common,"Anaphylaxis is a seroius allergic reaction. It can began very quickly, and symptoms may be life-threatening. ","R007
R143"
SE189,A007,Arrythmias,Not Specified,"An arrhythmia is a problem with the rate or rhythm of your heartbeat. Your heart beats too quickly, too slowly, or with an irregular pattern. Changes in the electrical signals that control your heartbeat cause arrhythmias.","R007
R216"
SE190,A008,Nausea,Not Specified,"Nausea is when you feel sick to your stomach, as if you are going to throw up.","R008
R133"
SE191,A008,Vomiting,Not Specified,Vomiting is when you throw up.,"R008
R133"
SE192,A008,Diarrhea,Not Specified,"Diarrhea is loose, watery stools (bowel movements).","R008
R134"
SE193,A008,Abdominal Pain,Not Specified,Abdominal pain is pain that you feel anywhere between your chest and groin. This is often referred to as the stomach region or belly.,"R008
R163"
SE194,A008,Headache,Rare,Headache is the most common form of pain. It's a major reason people miss days at work or school or visit the doctor.,"R008
R159"
SE195,A008,Palpitation,Not Specified,"Palpitations are feelings or sensations that your heart is pounding or racing. They can be felt in your chest, throat, or neck.","R008
R181"
SE196,A008,Chest Pain,Not Specified,Chest pain is discomfort or pain that you feel anywhere along the front of your body between your neck and upper abdomen.,"R008
R189"
SE197,A008,Dyspepsia,Not Specified,Dyspepsia is also called as Indigestion. It's a feeling of discomfort or a burning feeling in your upper abdomen. You may have heartburn or belch and feel bloated. ,"R008
R164"
SE198,A008,Flatulence,Not Specified,Flatulence is also called gas. Gas is air in the intestine that is passed through the rectum. Air that moves from the digestive tract through the mouth is called belching.,"R008
R213"
SE199,A008,Black or Tarry Stools,Not Specified,"Black or tarry stools with a foul smell are a sign of a problem in the upper digestive tract. It most often indicates that there is bleeding in the esophagus, stomach, or first part of the small intestine. The term melena is used to describe this finding.","R008
R214"
SE200,A008,Moniliasis,Not Specified,"Moniliasis is also called yeast infections. It is a fungus that lives almost everywhere, including in your body. Usually, your immune system keeps yeast under control.","R008
R193"
SE201,A008,Vaginitis,Not Specified,"Vaginitis, also called vulvovaginitis, is an inflammation or infection of the vagina. It can also affect the vulva, which is the external part of a woman's genitals. Vaginitis can cause itching, pain, discharge, and odor.","R008
R167"
SE202,A008,Nephritis,Not Specified,Nephritis is a kidney disorder in which the spaces between the kidney tubules become swollen (inflamed). This can cause problems with the way your kidneys work.,"R008
R217"
SE203,A008,Dizziness,Not Specified,"When you're dizzy, you may feel lightheaded, woozy, or disoriented. Diziness usually gets better by itself or is easily treated.","R008
R160"
SE204,A008,Vertigo,Not Specified,Vertigo is if you feel like you or the room are spinning.,"R008
R160"
SE205,A008,Fatigue,Not Specified,"Fatigue is a feeling of weariness, tiredness, or lack of energy. It can interfere with your usual daily activities. Fatigue can be a normal response to physical activity, emotional stress, boredom, or lack of sleep.","R008
R218"
SE206,A008,Rash,Not Specified,"A rash is an area of irritated or swollen skin. Many rashes are itchy, red, painful, and irritated. Some rashes can also lead to blisters or patches of raw skin.","R008 
R165"
SE207,A008,Pruritus,Not Specified,Pruritus is an alternative name for Itching. It is a tingling or irritation of the skin that makes you want to scratch the area. Itching may occur all over the body or only in one location.,"R008
R166"
SE208,A008,Photosensitivity,Not Specified,Photosensitivity is an increased sensitivity to sunlight.,"R008
R156"
SE209,A008,Angioedema,Not Specified,"Angioedema is a swelling that is similar to hives, but the swelling is under the skin instead of on the surface. ","R008
R142"
SE210,A008,Neutrophil Count Reduction,Not Specified,"Neutropenia is a condition that increases the risk of repeated infections in affected individuals. People with this condition have an abnormally low level (deficiency) of neutrophils, a type of white blood cell that plays a role in inflammation and in fighting infection.","R008
R150"
SE211,A008,Somnolence,Not Specified,Somnolence is an alternative name of drowsiness. It refers to feeling more sleepy than normal during the day.,"R008
R177"
SE212,A009,Candidiasis,Uncommon,"Candidiasis is also called Yeast Infections.  It is a fungus that lives almost everywhere, including in your body. Usually, your immune system keeps yeast under control.","R009
R193"
SE213,A009,Vaginal Infection,Uncommon,Vaginal Infection is an infection of the vagina. It is most often due to the fungus. Most women have a vaginal yeast infection at some time. ,"R009
R215"
SE214,A009,Pneumonia,Uncommon,"Pneumonia is an infection in one or both of your lungs. It causes the air sacs of your lungs to fill up with fluid or pus. Pneumonia can range from mild to severe, depending on what caused it, your age, and your overall health.","R009
R219"
SE215,A009,Fungal Infections,Uncommon,"If you have ever had athlete's foot or a yeast infection, you can blame a fungus. A fungus is a primitive organism. Mushrooms, mold and mildew are examples. Fungi live in air, in soil, on plants and in water. Some live in the human body. Only about half of all types of fungi are harmful.","R009
R220"
SE216,A009,Bacterial Infection,Uncommon,Bacterial Infection can  give off toxins (poisons) that can damage your cells and make you sick. These bacteria can reproduce quickly in your body.,"R009
R221"
SE217,A009,Pharyngitis,Uncommon,"Pharyngitis, or sore throat, is discomfort, pain, or scratchiness in the throat. It often makes it painful to swallow.","R009
R222"
SE218,A009,Gastroenteritis,Uncommon,"Gastroenteritis is an inflammation of the lining of the stomach and intestines. The main symptoms include vomiting and diarrhea. It is usually not serious in healthy people, but it can sometimes lead to dehydration or cause severe symptoms.","R009
R201"
SE219,A009,Rhinitis,Uncommon,"Rhinitis is a condition that includes a runny nose, sneezing, and nasal stuffiness. When environmental allergies (such as hay fever) or a cold are not causing these symptoms, the condition is called nonallergic rhinitis.","R009
R223"
SE220,A009,Oral Candidiasis,Uncommon,"Oral Candidiasis, commonly known as thrush, is a yeast infection of the mouth or throat. ","R009
R184"
SE221,A009,Pseudomembranous Colitis,Not Specified,"Pseudomembranous colitis
Email this page to a friend Print Facebook X Pinterest
Pseudomembranous colitis refers to swelling or inflammation of the large intestine (colon) due to an overgrowth of Clostridioides difficile (C difficile) bacteria.","R009
R203"
SE222,A009,Leukopenia,Uncommon,Leukopenia is a low white blood count.,"R009
R224"
SE223,A009,Neutropenia,Uncommon,"Neutropenia is a condition that increases the risk of repeated infections in affected individuals. People with this condition have an abnormally low level (deficiency) of neutrophils, a type of white blood cell that plays a role in inflammation and in fighting infection.","R009
R150"
SE224,A009,Eosinophilia,Uncommon,Eosinophils are a type of white blood cell. They help fight off infections and play a role in your body's immune response. They can also build up and cause inflammation.,"R009
R151"
SE225,A009,Thrombocytopenia,Not Specified,Thrombocytopenia means there is an abnormally low amount of platelets. Platelets are parts of the blood that help blood to clot. This condition is sometimes associated with abnormal bleeding.,"R009
R149"
SE226,A009,Angioedema,Uncommon,"Angioedema is a swelling that is similar to hives, but the swelling is under the skin instead of on the surface. ","R009
R142"
SE227,A009,Hypersensitivity Reaction,Uncommon,Hypersensitivity is also called Allergy. It is a reaction by your immune system to something that does not bother most other people. People who have allergies often are sensitive to more than one thing,"R009
R225"
SE228,A009,Anaphylactic Shock,Not Specified,"Anaphylactic Shock is an alternative name for Anaphylaxis. It is a seroius allergic reaction. It can began very quickly, and symptoms may be life-threatening. ","R009
R143"
SE229,A009,Anorexia,Common,"Anorexia is an eating disorder that causes people to weigh less than is considered healthy for their age and height, usually by excessive weight loss.","R009
R132"
SE230,A009,Insomnia,Uncommon,"Insomnia is trouble falling asleep, staying asleep (usually through the night), or waking up too early in the morning. Episodes of insomnia may come and go or be long-lasting.","R009
R158"
SE231,A009,Agitation,Rare,"Agitation is an unpleasant state of extreme arousal. An agitated person may feel stirred up, excited, tense, confused, or irritable.","R009
R172"
SE232,A009,Anxiety,Not Specified,"Anxiety is a feeling of fear, dread, and uneasiness. It might cause you to sweat, feel restless and tense, and have a rapid heartbeat. It can be a normal reaction to stress.","R009
R171"
SE233,A009,Delirium,Not Specified,"Delirium is a mental state in which you are confused, disoriented, and not able to think or remember clearly. It usually starts suddenly. It is often temporary and treatable.","R009
R2264"
SE234,A009,Hallucination,Not Specified,"Hallucinations involve sensing things such as visions, sounds, or smells that seem real but are not. These things are created by the mind.","R009
R196"
SE235,A009,Headache,Common,Headache is the most common form of pain. It's a major reason people miss days at work or school or visit the doctor.,"R009
R159"
SE236,A009,Dizziness,Uncommon,"When you're dizzy, you may feel lightheaded, woozy, or disoriented. Diziness usually gets better by itself or is easily treated.","R009
R160"
SE237,A009,Somnolence,Uncommon,Somnolence is an alternative name of drowsiness. It refers to feeling more sleepy than normal during the day.,"R009
R177"
SE238,A009,Paresthesia,Uncommon,"Paresthesia is an alternative name of Numbness and Tingling. These are abnormal sensations that can occur anywhere in your body, but they are often felt in your fingers, hands, feet, arms, or legs.","R009
R175"
SE239,A009,Syncope,Not Specified,"Syncope is also called Fainting. It is a temporary loss of consciousness. If you're about to faint, you'll feel dizzy, lightheaded, or nauseous. Your field of vision may ""white out"" or ""black out."" Your skin may be cold and clammy. You lose muscle control at the same time, and may fall down.","R009
R178"
SE240,A009,Convulsions,Not Specified,"Convulsions can also be called as Seizures. These are symptoms of a brain problem. They happen because of sudden, abnormal electrical activity in the brain. When people think of seizures, they often think of convulsions in which a person's body shakes rapidly and uncontrollably. ","R009
R199"
SE241,A009,Anosmia,Not Specified,Anosmia is when the sense of smell is completely absent.,"R009
R227"
SE242,A009,Parosmia,Not Specified,Parosmia is an alternative word name for Impaired smell. It is the partial or total loss or abnormal perception of the sense of smell. ,"R009
R228"
SE243,A009,Myasthenia Gravis,Not Specified,"Myasthenia gravis, sometimes called MG, is a chronic (long-lasting) disease that causes weakness in your voluntary muscles. The voluntary muscles are the ones that you can control. ","R009
R229"
SE244,A009,Blurred Vision,Not Specified,Blurred Vision is the loss of sharpness of vision and the inability to see fine details.,"R009
R230"
SE245,A009,Ear Disorder,Uncommon,An ear disorder is a condition that may affect your hearing or balance.,"R009
R231"
SE246,A009,Vertigo,Uncommon,Vertigo is if you feel like you or the room are spinning.,"R009
R160"
SE247,A009,Palpitation,Uncommon,"Palpitations are feelings or sensations that your heart is pounding or racing. They can be felt in your chest, throat, or neck.","R009
R181"
SE248,A009,Hot Flush,Uncommon,Hot flushes are sudden strong feelings of heat and sweating.,"R009
R232"
SE249,A009,Dyspnea,Uncommon,Dyspnea is shortness of breath.,"R009
R161"
SE250,A009,Epistaxis,Uncommon,Epistaxis is an alternative name of nose bleed. It is a loss of blood from the tissue lining the nose. Bleeding most often occurs from one nostril only.,"R009
R179"
SE251,A009,Constipation,Uncommon,"Constipation means having fewer than three bowel movements a week. The stool (poop) can be hard and dry. Sometimes it is painful to pass. At one time or another, almost everyone gets constipated. In most cases, it lasts a short time and is not serious.","R009
R162"
SE252,A009,Flatulence,Uncommon,Flatulence is also called gas. Gas is air in the intestine that is passed through the rectum. Air that moves from the digestive tract through the mouth is called belching.,"R009
R213"
SE253,A009,Dyspepsia,Uncommon,Dyspepsia is also called as Indigestion. It's a feeling of discomfort or a burning feeling in your upper abdomen. You may have heartburn or belch and feel bloated. ,"R009
R164"
SE254,A009,Gastritis,Uncommon,Gastritis occurs when the lining of the stomach becomes inflamed or swollen. Gastritis may last for only a short time (acute gastritis) or it may linger for month to years (chronic gastritis).,"R009
R187"
SE255,A009,Dysphagia,Uncommon,"Dysphagia is a term that means difficulty swallowing. Usually, when you swallow, food moves easily from your mouth, down your throat, and into your stomach.","R009
R136"
SE256,A009,Dry Mouth,Uncommon,"Having dry mouth, also called xerostomia, means that you don't have enough saliva to keep your mouth wet. Everyone has a dry mouth once in a while, like when you are nervous or stressed. But if you have a dry mouth all or most of the time, it can be uncomfortable. It can make chewing, swallowing, and even talking difficult. It also raises your risk for tooth decay or infections in the mouth.","R009
R233"
SE257,A009,Eructation,Uncommon,Eructation is also called Gas. It comes from two sources: air that you swallow and the breakdown of undigested food by bacteria in the large intestine. Certain foods may cause gas. Foods that produce gas in one person may not cause gas in another.,"R009
R213"
SE258,A009,Mouth Ulceration,Uncommon,Mouth ulcers are sores or open lesions in the mouth.,"R009
R234"
SE259,A009,Pancreatitis,Not Specified,Pancreatitis is inflammation of the pancreas. It happens when digestive enzymes start digesting the pancreas itself. Pancreatitis can be acute or chronic. Either form is serious and can lead to complications.,"R009
R152"
SE260,A009,Rash,Uncommon,"A rash is an area of irritated or swollen skin. Many rashes are itchy, red, painful, and irritated. Some rashes can also lead to blisters or patches of raw skin.","R009
R165"
SE261,A009,Pruritus,Uncommon,Pruritus is an alternative name for Itching. It is a tingling or irritation of the skin that makes you want to scratch the area. Itching may occur all over the body or only in one location.,"R009
R166"
SE262,A009,Urticaria,Uncommon,Urticaria is also called as Hives. It is a red and sometimes itchy bumps on your skin.,"R009
R141"
SE263,A009,Dermatitis,Uncommon,"Dermatitis is also called Rashes. It is an  area of irritated or swollen skin. Many rashes are itchy, red, painful, and irritated. Some rashes can also lead to blisters or patches of raw skin. Rashes are a symptom of many different medical problems.","R009
R165"
SE264,A009,Dry Skin,Uncommon,Dry skin occurs when your skin loses too much water and oil. Dry skin is common and can affect anyone at any age.,"R009
R235"
SE265,A009,Hyperhidrosis,Uncommon,Hyperhidrosis is a medical condition in which a person sweats excessively and unpredictably. People with hyperhidrosis may sweat even when the temperature is cool or when they are at rest.,"R009
R236"
SE266,A009,Photosensitivity,Rare,Photosensitivity is an increased sensitivity to sunlight.,"R009
R156"
SE267,A009,Stevens-Johnson Syndrome,Not Specified,"Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) is a severe skin reaction most often triggered by particular medications. Although Stevens-Johnson syndrome and toxic epidermal necrolysis were once thought to be separate conditions, they are now considered part of a continuum. Stevens-Johnson Syndrome represents the less severe end of the disease spectrum.","R009
R153"
SE268,A009,Toxic Epidermal Necrolysis,Not Specified,"Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) is a severe skin reaction most often triggered by particular medications. Although Stevens-Johnson syndrome and toxic epidermal necrolysis were once thought to be separate conditions, they are now considered part of a continuum. Toxic Epidermal Necrolysis represents the more severe end.","R009
R153"
SE269,A009,Erythema Multiforme,Not Specified,Erythema Multiforme is an acute skin reaction that comes form an infection or another trigger. EM is a self-limiting condition. This means it usually resolves on its own without treatment.,"R009
R154"
SE270,A009,Osteoarthritis,Uncommon,"Osteoarthritis, sometimes called OA, is a type of arthritis that only affects the joints, usually in the hands, knees, hips, neck, and lower back. It's the most common type of arthritis.","R009
R237"
SE271,A009,Back Pain,Uncommon,"Back pain is one of the most common medical problems, affecting 8 out of 10 people at some point during their lives. Back pain can range from a dull, constant ache to a sudden, sharp pain. Most back pain goes away on its own, though it may take awhile.","R009
R238"
SE272,A009,Neck Pain,Uncommon,"Neck pain is discomfort in any of the structures in the neck. These include the muscles, nerves, bones (vertebrae), joints, and the discs between the bones.","R009
R239"
SE273,A009,Arthralgia,Common,"Arthralgia is an alternative name of joint pain. It can affect one or more joints. Joint pain can be caused by many types of injuries or conditions. It may be linked to arthritis, bursitis, and muscle pain. ","R009
R191"
SE274,A009,Dysuria,Uncommon,"Dysuria is an alternative name for painful urination. It is any pain, discomfort, or burning sensation when passing urine.","R009
R240"
SE275,A009,Acute Renal Failure,Not Specified,Acute Renal Failure is an alternative name of Acute Kidney Failure. It is the rapid (less than 2 days) loss of your kidneys' ability to remove waste and help balance fluids and electrolytes in your body.,"R009
R192"
SE276,A009,Nephritis,Not Specified,Nephritis is a kidney disorder in which the spaces between the kidney tubules become swollen (inflamed). This can cause problems with the way your kidneys work.,"R009
R217"
SE277,A009,Testicular Disorder,Uncommon,"A testicular disorder is a condition where the testicles can get inflamed or infected, or develop cancer.","R009
R241"
SE278,A009,Edema,Uncommon,"Edema means swelling caused by fluid in your body's tissues. It usually occurs in the feet, ankles and legs, but it can involve your entire body.","R009
R168"
SE279,A009,Malaise,Uncommon,"Malaise is a general feeling of discomfort, illness, or lack of well-being.","R009
R242"
SE280,A009,Fatigue,Common,"Fatigue is a feeling of weariness, tiredness, or lack of energy. It can interfere with your usual daily activities. Fatigue can be a normal response to physical activity, emotional stress, boredom, or lack of sleep.","R009
R218"
SE281,A009,Chest Pain,Uncommon,Chest pain is discomfort or pain that you feel anywhere along the front of your body between your neck and upper abdomen.,"R009
R189"
SE282,A009,Pyrexia,Uncommon,"Pyrexia is also called a fever. It is a body temperature that is higher than normal. A normal temperature can vary from person to person, but it is usually around 98.6 °F (37 °C). A fever is not a disease. It is usually a sign that your body is trying to fight an illness or infection.","R009
R212"
SE283,A009,Pain,Uncommon,"Pain is a signal in your nervous system that something may be wrong. It is an unpleasant feeling, such as a prick, tingle, sting, burn, or ache. Each person feels pain differently, even if the reason for the pain is the same. Pain may be sharp or dull. It may be mild or severe. Pain may come and go, or it may be constant.","R009
R243"
SE284,A009,Eosinophil Count Increased,Common,Eosinophils are a type of white blood cell. They help fight off infections and play a role in your body's immune response. They can also build up and cause inflammation.,"R009
R151"
SE285,A009,Neutrophils Increased,Common,"Neutropenia is a condition that increases the risk of repeated infections in affected individuals. People with this condition have an abnormally low level (deficiency) of neutrophils, a type of white blood cell that plays a role in inflammation and in fighting infection.","R009
R150"
SE286,A009,Aspartate Aminotransferase Increased,Uncommon,The aspartate aminotransferase (AST) blood test measures the level of the enzyme AST in the blood. Increased aspartate aminotransferase means an increased AST level in the blood.,"R009
R244"
SE287,A009,Alanine Aminotransferase Increased,Uncommon,Alanine aminotransferase (ALT) blood test measures the level of the enzyme ALT in the blood. Increased alanine aminotransferase means an increased ALT level in the blood.,"R009
R245"
SE288,A009,Blood Bilirubin Increased,Uncommon,Blood bilirubin increased means too much of a yellow substance in the blood.,"R009
R246"
SE289,A009,Blood Potassium Abnormal,Uncommon,Blood potassium level is a condition in which the amount of potassium in the blood is lower than normal.,"R009
R247"
SE290,A009,Glucose Increased,Uncommon,Increased glucose is a sign of high blood sugar.,"R009
R248"
SE291,A009,Platelets Increased,Uncommon,Increased platelet is an increase in the platelet count which can increase the risk of blood clots.,"R009
R249"
SE292,A009,Deafness,Common,Deafness can keep you from hearing sound at all,"R009
R250"
SE293,A009,Tinnitus,Uncommon,"Tinnitus is often described as a ringing in the ears. It also can sound like roaring, clicking, hissing, or buzzing. It may be soft or loud, high pitched or low pitched. You might hear it in either one or both ears.","R009
R251"
SE294,A010,Angioedema,Serious,"Angioedema is a swelling that is similar to hives, but the swelling is under the skin instead of on the surface. ","R010
R142"
SE295,A010,Nausea,Serious,"Nausea is when you feel sick to your stomach, as if you are going to throw up.","R010
R133"
SE296,A010,Vomiting,Serious,Vomiting is when you throw up.,"R010
R133"
SE297,A010,Diarrhea,Serious,"Diarrhea is loose, watery stools (bowel movements).","R010
R13"
SE298,A010,Abdominal Pain,Serious,Abdominal pain is pain that you feel anywhere between your chest and groin. This is often referred to as the stomach region or belly.,"R010
R163"
SE299,A010,Palpitation,Not Specified,"Palpitations are feelings or sensations that your heart is pounding or racing. They can be felt in your chest, throat, or neck.","R010
R181"
SE300,A010,Chest Pain,Not Specified,Chest pain is discomfort or pain that you feel anywhere along the front of your body between your neck and upper abdomen.,"R010
R189"
SE301,A010,Dyspepsia,Not Specified,Dyspepsia is also called as Indigestion. It's a feeling of discomfort or a burning feeling in your upper abdomen. You may have heartburn or belch and feel bloated. ,"R010
R164"
SE302,A010,Flatulence,Not Specified,Flatulence is also called gas. Gas is air in the intestine that is passed through the rectum. Air that moves from the digestive tract through the mouth is called belching.,"R010
R213"
SE303,A010,Vomiting,Not Specified,Vomiting is when you throw up.,"R010
R133"
SE304,A010,Melena,Not Specified,"Black or tarry stools with a foul smell are a sign of a problem in the upper digestive tract. It most often indicates that there is bleeding in the esophagus, stomach, or first part of the small intestine. The term melena is used to describe this finding.",R010
SE305,A010,Moniliasis,Not Specified,"Moniliasis is also called yeast infections. It is a fungus that lives almost everywhere, including in your body. Usually, your immune system keeps yeast under control.","R010
R193"
SE306,A010,Vaginitis,Not Specified,"Vaginitis, also called vulvovaginitis, is an inflammation or infection of the vagina. It can also affect the vulva, which is the external part of a woman's genitals. Vaginitis can cause itching, pain, discharge, and odor.","R010
R167"
SE307,A010,Nephritis,Not Specified,Nephritis is a kidney disorder in which the spaces between the kidney tubules become swollen (inflamed). This can cause problems with the way your kidneys work.,"R010
R217"
SE308,A010,Dizziness,Not Specified,"When you're dizzy, you may feel lightheaded, woozy, or disoriented. Diziness usually gets better by itself or is easily treated.","R010
R160"
SE309,A010,Headache,Not Specified,Headache is the most common form of pain. It's a major reason people miss days at work or school or visit the doctor.,"R010
R159"
SE310,A010,Vertigo,Not Specified,Vertigo is if you feel like you or the room are spinning.,"R010
R160"
SE311,A010,Somnolence,Not Specified,Somnolence is an alternative name of drowsiness. It refers to feeling more sleepy than normal during the day.,"R010
R177"
SE312,A010,Fatigue,Not Specified,"Fatigue is a feeling of weariness, tiredness, or lack of energy. It can interfere with your usual daily activities. Fatigue can be a normal response to physical activity, emotional stress, boredom, or lack of sleep.","R010
R218"
SE313,A010,Rash,Not Specified,"A rash is an area of irritated or swollen skin. Many rashes are itchy, red, painful, and irritated. Some rashes can also lead to blisters or patches of raw skin.","R010
R165"
SE314,A010,Photosensitivity,Not Specified,Photosensitivity is an increased sensitivity to sunlight.,"R010
R156"
SE315,A010,Arthralgia,Not Specified,"Arthralgia is an alternative name of joint pain. It can affect one or more joints. Joint pain can be caused by many types of injuries or conditions. It may be linked to arthritis, bursitis, and muscle pain. ","R010
R191"
SE316,A010,Edema,Not Specified,"Edema means swelling caused by fluid in your body's tissues. It usually occurs in the feet, ankles and legs, but it can involve your entire body.","R010
R168"
SE317,A010,Urticaria,Not Specified,Urticaria is also called as Hives. It is a red and sometimes itchy bumps on your skin.,"R010
R141"
SE318,A010,Arrythmias,Not Specified,"An arrhythmia is a problem with the rate or rhythm of your heartbeat. Your heart beats too quickly, too slowly, or with an irregular pattern. Changes in the electrical signals that control your heartbeat cause arrhythmias.","R010
R216"
SE319,A010,Venticular Tachycardia,Not Specified,Ventricular tachycardia (VT) is a rapid heartbeat that starts in the lower chambers of the heart (ventricles).,"R010
R182"
SE320,A010,Anorexia,Not Specified,"Anorexia is an eating disorder that causes people to weigh less than is considered healthy for their age and height, usually by excessive weight loss.","R010
R132"
SE321,A010,Hypotension,Not Specified,"Hypotension is also called as Low Blood Pressure. It is the force of your blood pushing against the walls of your arteries. Each time your heart beats, it pumps out blood into the arteries. Your blood pressure is highest when your heart beats, pumping the blood.","R010
R183"
SE322,A010,Constipation,Not Specified,"Constipation means having fewer than three bowel movements a week. The stool (poop) can be hard and dry. Sometimes it is painful to pass. At one time or another, almost everyone gets constipated. In most cases, it lasts a short time and is not serious.","R010
R162"
SE323,A010,Pseudomembranous Colitis,Not Specified,"Pseudomembranous colitis
Email this page to a friend Print Facebook X Pinterest
Pseudomembranous colitis refers to swelling or inflammation of the large intestine (colon) due to an overgrowth of Clostridioides difficile (C difficile) bacteria.","R010
R203"
SE324,A010,Pancreatitis,Not Specified,Pancreatitis is inflammation of the pancreas. It happens when digestive enzymes start digesting the pancreas itself. Pancreatitis can be acute or chronic. Either form is serious and can lead to complications.,"R010
R152"
SE325,A010,Oral Candidiasis,Not Specified,"Oral Candidiasis, commonly known as thrush, is a yeast infection of the mouth or throat. ","R010
R184"
SE326,A010,Paresthesia,Not Specified,"Paresthesia is an alternative name of Numbness and Tingling. These are abnormal sensations that can occur anywhere in your body, but they are often felt in your fingers, hands, feet, arms, or legs.","R010
R175"
SE327,A010,Malaise,Not Specified,"Malaise is a general feeling of discomfort, illness, or lack of well-being.","R010
R242"
SE328,A010,Anaphylaxis,Not Specified,"Anaphylaxis is a seroius allergic reaction. It can began very quickly, and symptoms may be life-threatening. ","R010
R143"
SE329,A010,Nephritis,Not Specified,Nephritis is a kidney disorder in which the spaces between the kidney tubules become swollen (inflamed). This can cause problems with the way your kidneys work.,"R010
R217"
SE330,A010,Acute Renal Failure,Not Specified,Acute Renal Failure is an alternative name of Acute Kidney Failure. It is the rapid (less than 2 days) loss of your kidneys' ability to remove waste and help balance fluids and electrolytes in your body.,"R010
R192"
SE331,A010,Thrombocytopenia,Not Specified,Thrombocytopenia means there is an abnormally low amount of platelets. Platelets are parts of the blood that help blood to clot. This condition is sometimes associated with abnormal bleeding.,"R010
R149"
