Indication ID,Antibiotic ID,Severity Type,Symptoms,Reference ID
I104,A016,Not Specified,"Symptoms of Streptococcus infection depend on the type and may include a sore, red throat with swollen tonsils and white spots (strep throat), a red rash on the body (scarlet fever), skin infection (impetigo), and in more severe cases blood infections, pneumonia, meningitis, and urinary tract infections.","R016
R313"
I105,A016,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R016
R222"
I106,A016,Not Specified,"Symptoms of tonsillitis include a sore throat that may be severe, red and swollen tonsils, difficulty swallowing, a white or yellow coating on the tonsils, swollen glands in the neck, fever, and bad breath.","R016
R298"
I107,A016,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R016
R294"
I108,A016,Not Specified,"Symptoms of atypical pneumonia include chills, cough (which may produce bloody mucus in Legionella pneumonia), fever that may be mild or high, and shortness of breath that may occur mainly with exertion. Other symptoms include chest pain that worsens with deep breathing or coughing, confusion (especially in older adults or those with Legionella pneumonia), headache, loss of appetite, low energy and fatigue, muscle aches and joint stiffness, sweating and clammy skin, and in some cases diarrhea and vomiting, ear pain, eye pain or soreness, neck lump, rash, and sore throat (more commonly seen with Mycoplasma pneumonia).","R016
R309"
I109,A016,Not Specified,"Symptoms of acute bronchitis include chest discomfort, a cough that produces mucus (which may be clear or yellow-green), fatigue, low-grade fever, shortness of breath that worsens with activity, and wheezing in people with asthma. After the infection clears, a dry, nagging cough may persist for 1 to 4 weeks.","R016
R303"
I110,A016,Not Specified,"Symptoms of chronic bronchitis may be mild or absent at first but typically worsen over time, and can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R016
R295"
I111,A016,Not Specified,"Symptoms for Haemophilus Influenzae usually come on quickly, and may include fever and chills, mental status and changes, nausea and vomiting, sensitivity to light, severe headache, and stiff neck. Other symptoms that can onccur include agitation, bulging fontanelles in infants, decreased consciousness, poor feeding and irritability in children, rapid breathing, and unsual posture with the head and neck arched backwards.","R016
R286"
I112,A016,Not Specified,"Symptoms of Mycoplasma Pneumonia are often mild and appear over 1 to 3 weeks. They may become more severe in some people. Common symptoms include any of the following: chest pain, chills, cough (usually dry and not bloody), excessive sweating, fever (may be high), headache, and sore throat. Lesson common symptoms include ear pain, soreness, muscle aches and joint stiffness, neck lump, rapid breathing, and rash.","R016
R287"
I113,A016,Not Specified,"Symptoms of Streptococcus infection depend on the type and may include a sore, red throat with swollen tonsils and white spots (strep throat), a red rash on the body (scarlet fever), skin infection (impetigo), and in more severe cases blood infections, pneumonia, meningitis, and urinary tract infections.","R016
R313"
I114,A017,Not Specified,"Symptoms of Cystitis include cloudy or bloody urine, strong or foul-smelling urine, low fever (most people will not have a fever), pain or burning with urination, pressure or cramping in the lower middle abdomen or back, and strong need to urinate often, even right after the bladder has been emptied. ","R017
R291"
I117,A017,Not Specified,"Symptoms of urethritis in men include blood in the urine or semen, burning pain while urinating (dysuria), discharge from the penis, fever (rare), frequent or urgent urination, itching, tenderness or swelling in the penis, enlarged lymph nodes in the groin area, and pain during intercourse or ejaculation. In women, symptoms may include abdominal pain, burning pain while urinating, fever and chills, frequent or urgent urination, pelvic pain, pain during intercourse, and vaginal discharge.","R017
R290"
I118,A017,Not Specified,"Symptoms of asymptomatic bacteriuria include no symptoms at all; however, burning during urination, increased urgency to urinate, and increased frequency of urination are not present in this condition and instead suggest a urinary tract infection.","R017
R310"
I119,A017,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R017
R300"
I122,A018,Not Specified,"Symptoms of Cystitis include cloudy or bloody urine, strong or foul-smelling urine, low fever (most people will not have a fever), pain or burning with urination, pressure or cramping in the lower middle abdomen or back, and strong need to urinate often, even right after the bladder has been emptied. ","R018
R291"
I126,A019,Not Specified,"Symptoms of urethritis in men include blood in the urine or semen, burning pain while urinating (dysuria), discharge from the penis, fever (rare), frequent or urgent urination, itching, tenderness or swelling in the penis, enlarged lymph nodes in the groin area, and pain during intercourse or ejaculation. In women, symptoms may include abdominal pain, burning pain while urinating, fever and chills, frequent or urgent urination, pelvic pain, pain during intercourse, and vaginal discharge.","R019
R290"
I127,A019,Not Specified,"Symptoms of asymptomatic bacteriuria include no symptoms at all; however, burning during urination, increased urgency to urinate, and increased frequency of urination are not present in this condition and instead suggest a urinary tract infection.","R019
R310"
I128,A019,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R019
R300"
I130,A020,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R020
R300"
I131,A20,Not Specified,"Symptoms of lower respiratory tract infection (such as RSV infection) include runny nose, decreased appetite, cough, sneezing, fever, and wheezing.","R020
R318"
I132,A021,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R021
R222"
I133,A021,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R021
R299"
I134,A021,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R021
R294"
I135,A021,Not Specified,"Symptoms of chronic bronchitis may be mild or absent at first but typically worsen over time, and can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R021
R295"
I136,A021,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R021
R300"
I137,A022,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R022
R222"
I138,A022,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R022
R299"
I139,A022,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R022
R294"
I140,A022,Not Specified,"Symptoms of chronic bronchitis may be mild or absent at first but typically worsen over time, and can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R022
R295"
I141,A022,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R022
R300"
I142,A022,Not Specified,"Symptoms of Lyme disease include a slowly expanding red rash (often bull’s-eye shaped) at the site of the tick bite, flu-like symptoms, enlarged lymph nodes, additional skin rashes, fatigue, headache, muscle and joint aches, facial paralysis, numbness or weakness in the hands or feet, difficulty concentrating or memory problems, heart palpitations or irregular heartbeat, and joint pain and swelling, especially in the knees.","R022
R311"
I143,A023,Not Specified,"Symptoms of acute bronchitis include chest discomfort, a cough that produces mucus (which may be clear or yellow-green), fatigue, low-grade fever, shortness of breath that worsens with activity, and wheezing in people with asthma. After the infection clears, a dry, nagging cough may persist for 1 to 4 weeks.","R023
R303"
I144,A023,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R023
R299"
I145,A023,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R023
R222"
I146,A023,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R023
R294"
I147,A023,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R023
R300"
I148,A024,Not Specified,"Symptoms of lower respiratory tract infection (such as RSV infection) include runny nose, decreased appetite, cough, sneezing, fever, and wheezing.","R024
R318"
I149,A024,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R024
R300"
I150,A025,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R025
R300"
I151,A025,Not Specified,"Symptoms of lower respiratory tract infection (such as RSV infection) include runny nose, decreased appetite, cough, sneezing, fever, and wheezing.","R025
R318"
I152,A025,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R025
R294"
I153,A025,Not Specified,"Symptoms of upper respiratory tract infection include sneezing, a stuffy or congested nose, runny nose, sore throat, coughing, and headache.","R025
R317"
I154,A025,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R025
R300"
I155,A026,Not Specified,"Symptoms of lower respiratory tract infection (such as RSV infection) include runny nose, decreased appetite, cough, sneezing, fever, and wheezing.","R026
R318"
I156,A026,Not Specified,"Symptoms of Legionella pneumophila infection (Legionnaires’ disease) usually appear 2 to 14 days after exposure and include cough, high fever, chills, headache, chest pain, shortness of breath, fatigue, nausea and vomiting, diarrhea, and confusion.","R026
R301"
I157,A026,Not Specified,"Symptoms of tuberculosis (TB) include a persistent cough, sometimes lasting weeks, chest pain, shortness of breath, fatigue, and fever. In more severe cases, TB can also cause chills, night sweats, weight loss, and coughing up blood.","R026
R302"
I158,A026,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R026
R300"
I159,A027,Not Specified,"Symptoms of acute bronchitis include chest discomfort, a cough that produces mucus (which may be clear or yellow-green), fatigue, low-grade fever, shortness of breath that worsens with activity, and wheezing in people with asthma. After the infection clears, a dry, nagging cough may persist for 1 to 4 weeks.","R027
R303"
I160,A027,Not Specified,"Symptoms of chronic bronchitis may be mild or absent at first but typically worsen over time, and can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R027
R295"
I161,A027,Not Specified,"Symptoms of Bronchiectasis include a long-term (chronic) cough with large amounts of foul-smelling sputum, along with breath odor, coughing up blood (less common in children), fatigue, paleness, shortness of breath that worsens with exercise, weight loss, wheezing, low-grade fever, night sweats, and, in rare cases, clubbing of the fingers depending on the underlying cause.","R027
R288"
I162,A027,Not Specified,"Symptoms of upper respiratory tract infection include sneezing, a stuffy or congested nose, runny nose, sore throat, coughing, and headache.","R027
R317"
I163,A027,Not Specified,"Symptoms of Pneumonia can range from mild to severe and include fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R027
R219"
I164,A027,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R027
R300"
I165,A027,Not Specified,"Symptoms of Pyelonephritis include cloudy or bloody urine which may have a fould or strong odor, low grade fever in some people, pain or burning with urination, pressure or cramping in the lower abdomen or back, and strong need to urinate often even right after the bladd has been emptied. If the infection spread to your kidneys, symptoms may include chills and shaking, fatigue and generally ill feeling, fever above 38.3°C, pain (side, back, or groin), flushed, warmed, or reddened skin, confusion, nausea and vomiting, and sometime severe abdominal pain.","R027
R292"
I166,A027,Not Specified,"Symptoms of Cystitis include cloudy or bloody urine, strong or foul-smelling urine, low fever (most people will not have a fever), pain or burning with urination, pressure or cramping in the lower middle abdomen or back, and strong need to urinate often, even right after the bladder has been emptied. ","R027
R291"
I167,A027,Not Specified,"Symptoms of urethritis in men include blood in the urine or semen, burning pain while urinating (dysuria), discharge from the penis, fever (rare), frequent or urgent urination, itching, tenderness or swelling in the penis, enlarged lymph nodes in the groin area, and pain during intercourse or ejaculation. In women, symptoms may include abdominal pain, burning pain while urinating, fever and chills, frequent or urgent urination, pelvic pain, pain during intercourse, and vaginal discharge.","R027
R290"
I168,A027,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R027
R294"
I169,A027,Not Specified,"Symptoms of tonsillitis include a sore throat that may be severe, red and swollen tonsils, difficulty swallowing, a white or yellow coating on the tonsils, swollen glands in the neck, fever, and bad breath.","R027
R298"
I170,A027,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R027
R222"
I171,A027,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R027
R299"
I172,A028,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R028
R299"
I173,A028,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R028
R222"
I174,A028,Not Specified,"Symptoms of lower respiratory tract infection (such as RSV infection) include runny nose, decreased appetite, cough, sneezing, fever, and wheezing.","R028
R318"
I175,A028,Not Specified,"Symptoms of acute bronchitis include chest discomfort, a cough that produces mucus (which may be clear or yellow-green), fatigue, low-grade fever, shortness of breath that worsens with activity, and wheezing in people with asthma. After the infection clears, a dry, nagging cough may persist for 1 to 4 weeks.","R028
R303"
I176,A028,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R028
R300"
I177,A029,Not Specified,"Symptoms of acute bronchitis include chest discomfort, a cough that produces mucus (which may be clear or yellow-green), fatigue, low-grade fever, shortness of breath that worsens with activity, and wheezing in people with asthma. After the infection clears, a dry, nagging cough may persist for 1 to 4 weeks.","R029
R303"
I178,A029,Not Specified,"Symptoms of chronic bronchitis may be mild or absent at first but typically worsen over time, and can include frequent coughing or a cough that produces a lot of mucus, wheezing, a whistling or squeaky sound when breathing, shortness of breath especially during physical activity, and a feeling of tightness in the chest; some individuals may also experience frequent respiratory infections such as colds and the flu, and in severe cases, weight loss, weakness in the lower muscles, and swelling in the ankles, feet, or legs.","R029
R295"
I179,A029,Not Specified,"Symptoms of Bronchiectasis include a long-term (chronic) cough with large amounts of foul-smelling sputum, along with breath odor, coughing up blood (less common in children), fatigue, paleness, shortness of breath that worsens with exercise, weight loss, wheezing, low-grade fever, night sweats, and, in rare cases, clubbing of the fingers depending on the underlying cause.","R029
R288"
I180,A029,Not Specified,"Symptoms of upper respiratory tract infection include sneezing, a stuffy or congested nose, runny nose, sore throat, coughing, and headache.","R029
R318"
I181,A029,Not Specified,"Symptoms of Pneumonia can range from mild to severe and include fever, chills, cough (usually with phlegm), shortness of breath, chest pain when you breathe or cough, nausea and/or vomiting, and diarrhea.","R029
R219"
I182,A029,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R029
R300"
I183,A029,Not Specified,"Symptoms of Pyelonephritis include cloudy or bloody urine which may have a fould or strong odor, low grade fever in some people, pain or burning with urination, pressure or cramping in the lower abdomen or back, and strong need to urinate often even right after the bladd has been emptied. If the infection spread to your kidneys, symptoms may include chills and shaking, fatigue and generally ill feeling, fever above 38.3°C, pain (side, back, or groin), flushed, warmed, or reddened skin, confusion, nausea and vomiting, and sometime severe abdominal pain.","R029
R292"
I184,A029,Not Specified,"Symptoms of Cystitis include cloudy or bloody urine, strong or foul-smelling urine, low fever (most people will not have a fever), pain or burning with urination, pressure or cramping in the lower middle abdomen or back, and strong need to urinate often, even right after the bladder has been emptied. ","R029
R291"
I185,A029,Not Specified,"Symptoms of urethritis in men include blood in the urine or semen, burning pain while urinating (dysuria), discharge from the penis, fever (rare), frequent or urgent urination, itching, tenderness or swelling in the penis, enlarged lymph nodes in the groin area, and pain during intercourse or ejaculation. In women, symptoms may include abdominal pain, burning pain while urinating, fever and chills, frequent or urgent urination, pelvic pain, pain during intercourse, and vaginal discharge.","R029
R290"
I186,A029,Not Specified,"Symptoms of sinusitis can include fever, weakness, fatigue, cough, and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.","R029
R294"
I187,A029,Not Specified,"Symptoms of tonsillitis include a sore throat that may be severe, red and swollen tonsils, difficulty swallowing, a white or yellow coating on the tonsils, swollen glands in the neck, fever, and bad breath.","R029
R298"
I188,A029,Not Specified,"Symptoms of Pharyngitis is sore throat. Other symptoms may include fever, headache, joint pain and muscle aches, skin rashes, and swollen lymph nodes (glands) in the neck.","R029
R222"
I189,A029,Not Specified,"Symptoms of acute otitis media vary by age. In infants, the main signs may include irritability or inconsolable crying, fever, and trouble sleeping, while in older children and adults symptoms can include ear pain, fullness in the ear, general feeling of illness, nasal congestion, cough, lethargy, vomiting, diarrhea, hearing loss in the affected ear, drainage of fluid from the ear, and loss of appetite.","R029
R299"
I190,A030,Not Specified,"Symptoms of urinary tract infection include pain or burning when urinating, fever, tiredness or shakiness, an urge to urinate often, pressure in the lower abdomen, urine that smells bad or looks cloudy or reddish, and pain in the back or side below the ribs.","R030
R300"
